GEOID,D001TPOP,gender_female,age_under15,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_over65
0101001,55599,49.8,18.06,12.13,11.81,11.93,12.7,15.53,17.83
0101002,67916,51.64,20.44,12.75,12.5,13.21,13.15,13.09,14.85
0101003,34347,51.69,18.78,12.99,11.48,12.23,12.69,13.57,18.26
0101004,45525,50.44,19.0,13.1,10.72,12.71,13.27,13.48,17.72
0101005,36757,50.34,18.51,11.24,12.18,11.86,12.99,13.85,19.38
0101006,37570,51.66,17.88,11.4,10.54,11.01,12.21,15.15,21.81
0101007,26659,50.91,17.73,11.55,10.23,11.98,13.1,14.32,21.08
0101008,53465,50.66,19.44,12.87,12.61,12.38,12.83,12.42,17.45
0101009,45309,51.84,19.31,11.64,11.43,13.17,12.61,13.02,18.82
0101010,27784,53.02,16.38,10.72,7.9,10.71,12.23,14.68,27.37
0101011,61910,51.85,13.91,9.71,9.9,10.49,12.3,16.35,27.34
0101012,51239,50.46,18.94,11.18,12.31,12.5,12.28,14.12,18.67
0101013,49326,50.91,19.08,12.52,14.08,11.67,11.89,13.47,17.29
0101014,28087,51.39,17.07,11.82,10.38,11.24,13.22,14.73,21.54
0101015,45092,53.36,19.35,12.38,12.59,11.88,11.85,12.8,19.15
0101016,51169,51.63,18.68,11.45,11.4,12.68,12.98,13.97,18.85
0102001,41148,53.04,18.96,11.0,12.91,11.27,10.3,14.82,20.75
0102002,40408,53.42,20.19,12.09,15.11,11.95,11.05,13.98,15.63
0102003,46844,54.01,20.1,15.74,13.93,11.86,11.0,11.8,15.56
0102004,51364,53.65,16.83,13.32,14.06,11.84,11.25,12.73,19.97
0102005,31295,54.09,18.11,21.36,13.58,10.83,10.39,11.57,14.16
0102006,45888,50.8,19.8,12.64,11.35,12.31,13.2,14.07,16.63
0102007,22551,51.25,17.11,12.43,10.04,10.82,13.18,15.47,20.96
0102008,29753,52.04,17.15,11.93,10.2,10.84,13.01,15.43,21.43
0102009,32245,52.56,17.63,11.74,10.58,11.49,12.43,14.81,21.32
0102010,52771,54.25,17.85,17.0,12.17,11.5,11.59,13.6,16.28
0102011,56638,51.31,19.67,11.85,14.48,12.51,11.55,13.35,16.61
0102012,39365,54.51,19.14,14.31,15.3,12.31,11.97,12.05,14.92
0102013,37253,53.89,17.49,13.28,13.78,12.3,12.0,12.79,18.35
